name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost,listed_in(type)
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,Quick Bites,South Indian,150,Delivery
Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery
Havyaka Mess,No,No,3.9,28,Banashankari,Mess,South Indian,300,Delivery
McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery
Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery
Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery
Hotboxit,No,No,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,Delivery
Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery
Recipe,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery
Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,Delivery
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery
Petoo,No,No,3.7,21,Banashankari,Quick Bites,North Indian,450,Delivery
Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery
Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery
Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery
Roving Feast,No,No,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery
FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery
Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery
Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery
XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery
Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,Delivery
Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery
Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,Chinese,150,Delivery
1947,No,Yes,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery
Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,Delivery
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery
Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,South Indian,100,Delivery
Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery
Sugar Rush,No,No,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery
The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery
The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery
LSD Cafe,No,No,2.9,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,Delivery
Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,South Indian,150,Delivery
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery
Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,Fast Food,500,Delivery
Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery
Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery
Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery
Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery
Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery
The Big O Bakes,No,No,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery
Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,North Indian,200,Delivery
Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery
Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,Biryani,250,Delivery
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery
Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,North Indian,600,Delivery
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,Delivery
Kaggis,No,No,3.8,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,Delivery
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery
Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Delivery
Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery
Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,South Indian,300,Delivery
Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,South Indian,200,Delivery
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery
Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery
Cakes & Slices,No,No,3.5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Spice 9,No,No,3.4,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,Biryani,300,Delivery
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,North Indian,300,Delivery
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,North Indian,150,Delivery
Just Bake,No,No,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery
K27 - The Pub,No,No,3.1,30,Banashankari,Bar,"Chinese, North Indian",1000,Delivery
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,Delivery
Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,"Fast Food, South Indian",100,Delivery
Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,"Street Food, Fast Food",200,Delivery
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery
Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,South Indian,100,Delivery
Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery
Darbar,No,No,3.0,98,Banashankari,Bar,"North Indian, Chinese",800,Delivery
Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,South Indian,200,Delivery
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery
Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery
Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery
KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery
Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery
Imperial Restaurant,Yes,No,3.7,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,Delivery
Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery
The Fortuna,Yes,No,3.0,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery
Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery
New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Quick Bites,Biryani,300,Delivery
Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300,Delivery
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,"Cafe, Beverages",400,Delivery
HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery
Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,Delivery
Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,Delivery
Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery
Kanti Sweets,Yes,No,4.0,115,Banashankari,Sweet Shop,"Mithai, Street Food",400,Delivery
Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery
Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Quick Bites,Biryani,200,Delivery
Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,Delivery
Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,Bakery,400,Delivery
Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery
Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,South Indian,150,Delivery
Tandoori Knight,Yes,No,3.0,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,Delivery
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,Street Food,200,Delivery
Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250,Delivery
Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery
Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery
Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery
@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,Italian,700,Delivery
Chilli Flakes,Yes,No,3.6,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,Delivery
Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Ice Cream,150,Delivery
Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery
By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,South Indian,100,Delivery
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery
Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,South Indian,150,Delivery
Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,Arabian,300,Delivery
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,North Indian,350,Delivery
Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,Quick Bites,South Indian,100,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500,Delivery
Gokul Veg,Yes,No,3.8,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,Delivery
Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery
Udupi Ruchi,Yes,No,3.9,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery
Madhappa Hindu Military Hotel,Yes,No,3.4,14,Banashankari,Quick Bites,South Indian,300,Delivery
Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,South Indian,200,Delivery
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Delivery
Pizza Hut,Yes,No,3.8,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery
Mangalore Pearl,Yes,No,3.8,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery
Asha Sweets Centre,Yes,No,3.6,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery
Twiststick House,Yes,No,4.1,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery
Cool Corner,Yes,No,4.2,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,Delivery
Pizza Mane,Yes,No,3.5,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,Delivery
Dal Tadkaa,Yes,No,2.5,247,Banashankari,Casual Dining,North Indian,500,Delivery
Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500,Delivery
Mystique Palate,Yes,No,4.1,337,Jayanagar,Quick Bites,"Chinese, Fast Food",300,Delivery
Thamboola,Yes,No,3.9,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery
Castle Rock,Yes,No,3.6,172,Uttarahalli,Casual Dining,"North Indian, Chinese",700,Delivery
Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Casual Dining,Vietnamese,700,Delivery
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery
C Corner,Yes,No,3.2,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200,Delivery
Paratha Merchant,Yes,No,3.1,39,Kumaraswamy Layout,Quick Bites,North Indian,300,Delivery
North Rasoe,Yes,No,3.1,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,Delivery
Toscano,Yes,Yes,4.3,1129,Jayanagar,Casual Dining,"Italian, Salad",1300,Delivery
Lord Of The Kitchen,Yes,No,3.9,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350,Delivery
Stoned Monkey,Yes,No,4.3,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,Delivery
Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,Delivery
Bella,Yes,Yes,3.9,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000,Delivery
Vennela Andhra Meals,Yes,No,3.0,23,Jayanagar,Quick Bites,Andhra,400,Delivery
New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery
The Grillo,Yes,Yes,2.8,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery
Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,Casual Dining,South Indian,400,Delivery
Karma Kaapi,Yes,No,4.4,181,Jayanagar,Beverage Shop,"Beverages, Tea",250,Delivery
Tiwari's,Yes,No,3.8,70,Jayanagar,Quick Bites,"North Indian, Street Food",200,Delivery
Pizza Stop,Yes,No,3.8,164,Basavanagudi,Quick Bites,"Pizza, Italian",600,Delivery
Biggies Burger 'n' More,Yes,No,3.6,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650,Delivery
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Delivery
Kollapuri's,No,No,3.9,206,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450,Delivery
Kadamba Classic,No,No,3.6,16,Mysore Road,Quick Bites,South Indian,300,Delivery
RS Shiv Sagar,No,No,3.7,217,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery
Kholi Mane,No,No,3.6,46,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450,Delivery
Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,Quick Bites,"Fast Food, Street Food",150,Delivery
Cake Yard,No,No,3.4,30,Basavanagudi,Dessert Parlor,Desserts,250,Delivery
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Delivery
Sri Udupi Veg,No,No,3.3,4,Jayanagar,Quick Bites,South Indian,250,Delivery
Cake Art,No,No,3.5,15,Basavanagudi,"Bakery, Quick Bites",Bakery,400,Delivery
Potato House,Yes,No,3.4,9,Uttarahalli,Quick Bites,Street Food,200,Delivery
Matru Sagar,Yes,No,3.7,31,Mysore Road,Quick Bites,"South Indian, North Indian",300,Delivery
Ugadi,Yes,No,2.9,177,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,Delivery
Sri Krishna Sweets,Yes,No,3.7,22,Basavanagudi,Sweet Shop,"Mithai, Desserts",250,Delivery
In Time Cane Juice,Yes,No,3.5,10,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",100,Delivery
Subway,Yes,No,3.7,136,Banashankari,Quick Bites,"Salad, Fast Food",600,Delivery
Daal Roti,Yes,No,2.9,35,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery
The Lassi Park,Yes,No,4.1,185,Jayanagar,Quick Bites,"Juices, Desserts",200,Delivery
Cafe Coffee Day,Yes,No,3.2,17,Jayanagar,Cafe,"Cafe, Fast Food",900,Delivery
A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,Delivery
Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,North Indian,600,Delivery
Green Gardenia,Yes,No,3.8,160,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery
J Spice,Yes,No,3.8,59,Banashankari,Casual Dining,"North Indian, Chinese",750,Delivery
Karavali Family Restaurant,Yes,No,3.5,90,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Delivery
Karavali Lunch Home,Yes,No,3.7,51,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",350,Delivery
Hatti Kaapi,Yes,No,4.0,89,Jayanagar,Quick Bites,"South Indian, Beverages",200,Delivery
Kolkata Kathi Roll's,Yes,No,3.6,18,Banashankari,Quick Bites,"Fast Food, Rolls",250,Delivery
Upahara Darshini,Yes,No,3.9,40,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600,Delivery
The Chaat Shop,Yes,No,2.5,35,Basavanagudi,Quick Bites,Fast Food,200,Delivery
Anda Ka Funda,Yes,No,3.4,89,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250,Delivery
Shri Vinayaka Ice N Juice,Yes,No,3.2,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",150,Delivery
My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Delivery
Ibaco,Yes,No,3.9,33,Jayanagar,Dessert Parlor,Desserts,300,Delivery
Jalaram Sweets,Yes,No,3.8,32,Jayanagar,Sweet Shop,"Desserts, Mithai",250,Delivery
Samskruti - Sanman Gardenia,Yes,No,4.1,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550,Delivery
Bendakaluru Bytes,Yes,No,3.2,154,Vijay Nagar,Quick Bites,Fast Food,300,Delivery
Cocoa Bakes,Yes,No,3.6,14,Banashankari,Bakery,"Bakery, Desserts",350,Delivery
Chumma Delicious,Yes,No,3.7,237,Banashankari,Quick Bites,"South Indian, Fast Food",200,Delivery
New Prashanth Hotel,Yes,No,3.9,388,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650,Delivery
Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500,Delivery
Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai",1200,Delivery
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650,Delivery
Tanna's Kitchen,Yes,No,3.1,7,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250,Delivery
Shree Mandarathi Grand,Yes,No,3.7,38,Uttarahalli,Casual Dining,"South Indian, North Indian",400,Delivery
Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,Delivery,Pizza,600,Delivery
Iceberg Icecreams,Yes,No,4.0,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250,Delivery
South Kitchen,Yes,No,4.3,275,Basavanagudi,Quick Bites,South Indian,100,Delivery
Chung Wah,Yes,No,3.7,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850,Delivery
Shanthi Sagar,Yes,No,3.1,28,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery
